"Campagna","CodStaz","codice_aziendale","Reg","Prov_","Stazione","cod_istat","Comune","Linea fisica","Saliti7-9","Discesi7-9","Corse7-9","Saliti24H","Corse24H","Saliti_S","Saliti_R","Saliti_RE","Corse_S","Corse_R","Corse_RE","Anno","tipo_giorno","Calendario","POINT_X","POINT_Y","Location"
"C_nov 2016","2.752","S01006","LO","BS","Darfo-Corna","17065","Darfo Boario Terme","Pisogne - Breno","50","80","4","260","32","0","130","130","0","19","13","2016","Fer","Invernale","10.181314081","45.884311375","POINT (10.181314081 45.884311375)"
"C_nov 2019","107","S01144","LO","VA","MORNAGO CIMBRO","12106","Mornago","LUINO-GALLARATE","80","20","5","150","28","0","150","0","0","28","0","2019","Fer","Invernale","8.734232423","45.729818919","POINT (8.734232423 45.729818919)"
"C_nov 2021","321","S01943","LO","PV","S.GIULETTA","18140","Santa Giuletta","ALESS.-PIACENZA","0","0","0","10","6","0","10","0","0","6","0","2021","Feriale","Invernale","9.179278043","45.035797363","POINT (9.179278043 45.035797363)"
"C_nov 2017","163","S01439","LO","SO","VILLA DI TIRANO","14078","Villa di Tirano","TIRANO-MILANO So-Tir","20","0","1","30","7","0","30","0","0","7","0","2017","Fer","Invernale","10.130361703","46.196242159","POINT (10.130361703 46.196242159)"
"C_nov 2016","263","S01826","LO","LO","SECUGNAGO","98052","Secugnago","MILANO-BOLOGNA","170","50","7","380","40","0","380","0","0","39","1","2016","Fer","Invernale","9.586872164","4.522332986","POINT (9.586872164 45.22332986)"
"C_Novembre2023","2.815","S01729","LO","VA","Tradate","12127","Tradate","Saronno - Varese Nord","960","440","13","2410","78","0","1510","900","0","61","17","2023","Feriale","Invernale","8.906902965","45.710305004","POINT (8.906902965 45.710305004)"
"C_nov 2015","284","S01862","LO","PV","MOTTA S.DAMIANO","18110","Pavia","PAVIA-CASALPUST.","10","0","5","10","29","0","10","0","0","29","0","2015","FER","Invernale","9.219902925","45.178421105","POINT (9.219902925 45.178421105)"
"C_nov 2016","124","S01316","LO","MI","CAMNAGO-LENTATE","108054","Lentate sul Seveso","CHIASSO-MILANO","570","210","16","1420","141","1420","0","0","141","0","0","2016","Fer","Invernale","9.133490346","45.668502905","POINT (9.133490346 45.668502905)"
"C_nov 2019","2.761","S01745","LO","VA","Gemonio","12074","Gemonio","Varese Nord - Laveno Momb","200","30","7","460","42","0","200","260","0","21","21","2019","Fer","Invernale","0.867388218","45.877604611","POINT (8.67388218 45.877604611)"
"C_Luglio2023","76","S01029","LO","VA","CASORATE SEMPIONE","12039","Casorate Sempione","DOMODOSSOLA-MILANO","70","30","5","260","32","0","260","0","0","32","0","2023","Feriale","estivo","8.743986914","45.675152648","POINT (8.743986914 45.675152648)"
"C_nov 2018","251","S01804","LO","PV","S.MARTINO-CAVA","18041","Cava Manara","MILANO-GENOVA","150","20","7","280","38","0","230","50","0","32","6","2018","Fer","Invernale","9.115360868","4.514494907","POINT (9.115360868 45.14494907)"
"C_nov 2021","193","S01504","LO","BG","TERNO","16213","Terno d'Isola","SEREGNO-BERGAMO","290","40","5","650","40","0","650","0","0","40","0","2021","Feriale","Invernale","9.536197341","45.688730968","POINT (9.536197341 45.688730968)"
"C_nov 2016","38","S00276","LO","PV","GARLASCO","18069","Garlasco","VERCELLI-PAVIA","190","30","4","340","28","0","340","0","0","28","0","2016","Fer","Invernale","8.926867354","45.199033929","POINT (8.926867354 45.199033929)"
"C_nov 2015","5.836","S01608","LO","BG","ARCENE","16011","Arcene","BERGAMO-CREMONA","200","30","8","410","53","0","410","0","0","52","1","2015","Fer","Invernale","9.606556547","45.577555908","POINT (9.606556547 45.577555908)"
"C_nov 2021","292","S01870","LO","LO","ORIO LITTA","98042","Orio Litta","PAVIA-CASALPUST.","20","10","4","50","22","0","50","0","0","22","0","2021","Feriale","Invernale","9.550621285","45.166863635","POINT (9.550621285 45.166863635)"
"C_nov 2019","2.857","S01647","LO","MI","MILANO P.G. PASS.","15146","Milano","PASSANTE","3990","7980","41","27300","359","27300","0","0","359","0","0","2019","Fer","Invernale","9.185954917","45.484354097","POINT (9.185954917 45.484354097)"
"C_nov 2020","177","S01480","LO","MI","MONZA SOBBORGHI","108033","Monza","MONZA-LECCO","50","30","6","150","40","150","0","0","40","0","0","2020","Feriale","Invernale","9.284488422","45.582043348","POINT (9.284488422 45.582043348)"
"C_nov 2019","242","S01711","LO","BG","ROMANO","16183","Romano di Lombardia","MILANO-VENEZIA","830","250","10","2150","65","0","1110","1040","0","33","32","2019","Fer","Invernale","0.975343152","45.523917724","POINT (9.75343152 45.523917724)"
