line_code,line_name_raw,period_id,period_label,proxy_campaign,tipo_giorno,daily_travellers_thousand,days_weight,annual_contribution_mln,formula
RE6,Verona - Brescia - Milano,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Sabato,48.1,13,0.6253000000000001,daily_travellers_thousand × days_weight / 1000
RE6,Verona - Brescia - Milano,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Festivo,44.3,15,0.6645,daily_travellers_thousand × days_weight / 1000
RE6,Verona - Brescia - Milano,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Feriale,38.5,43,1.6555,daily_travellers_thousand × days_weight / 1000
RE6,Verona - Brescia - Milano,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Sabato,42.8,9,0.3852,daily_travellers_thousand × days_weight / 1000
RE6,Verona - Brescia - Milano,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Festivo,42.4,10,0.424,daily_travellers_thousand × days_weight / 1000
S6,S6 Novara - Milano Passante - Treviglio,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Feriale,42.6,145,6.177,daily_travellers_thousand × days_weight / 1000
S6,S6 Novara - Milano Passante - Treviglio,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Sabato,26.1,29,0.7569000000000001,daily_travellers_thousand × days_weight / 1000
S6,S6 Novara - Milano Passante - Treviglio,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Festivo,19.1,38,0.7258000000000001,daily_travellers_thousand × days_weight / 1000
S6,S6 Novara - Milano Passante - Treviglio,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Feriale,41.9,63,2.6397,daily_travellers_thousand × days_weight / 1000
S6,S6 Novara - Milano Passante - Treviglio,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Sabato,22.1,13,0.2873,daily_travellers_thousand × days_weight / 1000
S6,S6 Novara - Milano Passante - Treviglio,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Festivo,16.6,15,0.24900000000000003,daily_travellers_thousand × days_weight / 1000
S6,S6 Novara - Milano Passante - Treviglio,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Feriale,34.3,43,1.4748999999999999,daily_travellers_thousand × days_weight / 1000
S6,S6 Novara - Milano Passante - Treviglio,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Sabato,18.8,9,0.16920000000000002,daily_travellers_thousand × days_weight / 1000
S6,S6 Novara - Milano Passante - Treviglio,estate_luglio_proxy,Estate/vacanza (proxy luglio),c2025Luglio,Festivo,13.5,10,0.135,daily_travellers_thousand × days_weight / 1000
S1,S1 Saronno - Milano Passante - Lodi,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Feriale,35.5,145,5.1475,daily_travellers_thousand × days_weight / 1000
S1,S1 Saronno - Milano Passante - Lodi,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Sabato,22.5,29,0.6525,daily_travellers_thousand × days_weight / 1000
S1,S1 Saronno - Milano Passante - Lodi,ordinario_novembre_proxy,Ordinario (proxy novembre),c2025Novembre,Festivo,16.0,38,0.608,daily_travellers_thousand × days_weight / 1000
S1,S1 Saronno - Milano Passante - Lodi,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Feriale,33.0,63,2.079,daily_travellers_thousand × days_weight / 1000
S1,S1 Saronno - Milano Passante - Lodi,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Sabato,22.6,13,0.2938,daily_travellers_thousand × days_weight / 1000
S1,S1 Saronno - Milano Passante - Lodi,spalla_maggio_proxy,Spalla/inizio estate (proxy maggio),c2025Maggio,Festivo,15.4,15,0.231,daily_travellers_thousand × days_weight / 1000
